date,Active Editors Total
2012/08/19,85839.0
2012/08/20,85522.0
2012/08/21,85888.0
2012/08/22,86057.0
2012/08/23,86038.0
2012/08/24,84418.0
2012/08/25,85711.0
2012/08/26,85521.0
2012/08/27,85615.0
2012/08/28,85992.0
2012/08/29,86475.0
2012/08/30,86475.0
2012/08/31,86338.0
2012/09/01,86628.0
2012/09/02,86611.0
2012/09/03,86557.0
2012/09/04,86866.0
2012/09/05,86926.0
2012/09/06,87114.0
2012/09/07,86957.0
2012/09/08,86730.0
2012/09/09,86523.0
2012/09/10,86525.0
2012/09/11,86749.0
2012/09/12,86795.0
2012/09/13,86776.0
2012/09/14,86562.0
2012/09/15,86442.0
2012/09/16,86059.0
2012/09/17,85966.0
2012/09/18,86264.0
2012/09/19,86400.0
2012/09/20,86194.0
2012/09/21,85850.0
2012/09/22,85615.0
2012/09/23,85279.0
2012/09/24,85194.0
2012/09/25,85203.0
2012/09/26,85153.0
2012/09/27,85045.0
2012/09/28,84814.0
2012/09/29,84482.0
2012/09/30,84293.0
2012/10/01,84091.0
2012/10/02,84104.0
2012/10/03,84220.0
2012/10/04,84200.0
2012/10/05,84078.0
2012/10/06,83994.0
2012/10/07,83943.0
2012/10/08,83984.0
2012/10/09,84137.0
2012/10/10,84157.0
2012/10/11,84106.0
2012/10/12,84133.0
2012/10/13,83885.0
2012/10/14,83779.0
2012/10/15,83846.0
2012/10/16,84255.0
2012/10/17,84365.0
2012/10/18,84252.0
2012/10/19,84253.0
2012/10/20,84320.0
2012/10/21,84196.0
2012/10/22,84386.0
2012/10/23,84721.0
2012/10/24,84780.0
2012/10/25,84760.0
2012/10/26,84912.0
2012/10/27,84889.0
2012/10/28,84863.0
2012/10/29,85058.0
2012/10/30,85279.0
2012/10/31,85400.0
2012/11/01,85300.0
2012/11/02,85276.0
2012/11/03,85200.0
2012/11/04,85231.0
2012/11/05,85276.0
2012/11/06,85395.0
2012/11/07,85597.0
2012/11/08,85564.0
2012/11/09,85523.0
2012/11/10,85430.0
2012/11/11,85347.0
2012/11/12,85572.0
2012/11/13,85899.0
2012/11/14,85981.0
2012/11/15,85949.0
2012/11/16,85962.0
2012/11/17,86003.0
2012/11/18,85964.0
2012/11/19,86102.0
2012/11/20,86432.0
2012/11/21,86498.0
2012/11/22,86518.0
2012/11/23,86567.0
2012/11/24,86570.0
2012/11/25,86610.0
2012/11/26,86670.0
2012/11/27,86978.0
2012/11/28,87214.0
2012/11/29,87306.0
2012/11/30,87400.0
2012/12/01,87500.0
2012/12/02,87397.0
2012/12/03,87369.0
2012/12/04,87603.0
2012/12/05,87583.0
2012/12/06,87625.0
2012/12/07,87669.0
2012/12/08,87719.0
2012/12/09,87712.0
2012/12/10,87815.0
2012/12/11,87907.0
2012/12/12,87824.0
2012/12/13,87724.0
2012/12/14,87651.0
2012/12/15,87596.0
2012/12/16,87569.0
2012/12/17,87648.0
2012/12/18,87786.0
2012/12/19,87781.0
2012/12/20,87616.0
2012/12/21,87252.0
2012/12/22,87041.0
2012/12/23,86861.0
2012/12/24,86747.0
2012/12/25,86402.0
2012/12/26,85849.0
2012/12/27,85546.0
2012/12/28,85329.0
2012/12/29,85084.0
2012/12/30,84959.0
2012/12/31,84989.0
2013/01/01,84960.0
2013/01/02,84809.0
2013/01/03,84941.0
2013/01/04,85088.0
2013/01/05,85279.0
2013/01/06,85373.0
2013/01/07,85518.0
2013/01/08,85891.0
2013/01/09,85901.0
2013/01/10,85098.0
2013/01/11,84431.0
2013/01/12,83668.0
2013/01/13,82832.0
2013/01/14,83137.0
2013/01/15,86713.0
2013/01/16,86965.0
2013/01/17,87039.0
2013/01/18,87238.0
2013/01/19,87406.0
2013/01/20,87465.0
