date,cdowiki (100+),cdowiki (5+),cdowiki (all)
2012/08/19,,8,24
2012/08/20,1,9,26
2012/08/21,1,9,26
2012/08/22,1,10,26
2012/08/23,1,10,27
2012/08/24,1,10,27
2012/08/25,1,9,26
2012/08/26,1,9,26
2012/08/27,1,9,27
2012/08/28,1,9,28
2012/08/29,1,9,28
2012/08/30,1,9,29
2012/08/31,1,9,29
2012/09/01,1,10,29
2012/09/02,1,9,28
2012/09/03,1,8,26
2012/09/04,1,8,24
2012/09/05,1,8,26
2012/09/06,1,9,28
2012/09/07,1,9,29
2012/09/08,1,9,29
2012/09/09,1,9,29
2012/09/10,1,9,29
2012/09/11,1,9,29
2012/09/12,1,9,30
2012/09/13,1,9,31
2012/09/14,1,9,31
2012/09/15,1,9,31
2012/09/16,1,9,31
2012/09/17,1,10,31
2012/09/18,1,10,27
2012/09/19,,9,25
2012/09/20,,9,25
2012/09/21,,9,25
2012/09/22,,9,25
2012/09/23,,9,25
2012/09/24,,9,25
2012/09/25,,9,24
2012/09/26,,9,23
2012/09/27,,9,23
2012/09/28,,9,23
2012/09/29,,9,22
2012/09/30,,9,22
2012/10/01,,8,20
2012/10/02,,8,20
2012/10/03,,8,20
2012/10/04,,9,21
2012/10/05,,9,21
2012/10/06,,8,20
2012/10/07,,8,18
2012/10/08,,8,18
2012/10/09,,8,18
2012/10/10,,8,18
2012/10/11,,8,18
2012/10/12,,8,18
2012/10/13,,8,16
2012/10/14,,8,16
2012/10/15,,7,17
2012/10/16,,7,17
2012/10/17,,7,17
2012/10/18,,8,17
2012/10/19,,8,19
2012/10/20,,8,21
2012/10/21,,8,22
2012/10/22,,8,23
2012/10/23,,8,24
2012/10/24,,9,24
2012/10/25,,9,25
2012/10/26,,9,25
2012/10/27,,8,25
2012/10/28,,8,26
2012/10/29,,8,26
2012/10/30,,8,26
2012/10/31,,8,26
2012/11/01,,8,26
2012/11/02,,8,26
2012/11/03,,8,25
2012/11/04,,8,24
2012/11/05,,8,25
2012/11/06,,8,25
2012/11/07,,8,25
2012/11/08,,8,24
2012/11/09,,8,23
2012/11/10,,8,23
2012/11/11,,8,25
2012/11/12,,10,25
2012/11/13,,11,25
2012/11/14,,12,24
2012/11/15,,12,24
2012/11/16,,12,24
2012/11/17,,12,24
2012/11/18,,12,23
2012/11/19,,12,21
2012/11/20,,11,20
2012/11/21,,11,19
2012/11/22,,11,19
2012/11/23,,11,21
2012/11/24,,11,21
2012/11/25,,11,21
2012/11/26,,11,21
2012/11/27,,11,21
2012/11/28,,12,20
2012/11/29,,13,20
2012/11/30,,13,20
2012/12/01,,13,20
2012/12/02,,12,20
2012/12/03,,12,20
2012/12/04,,12,20
2012/12/05,,12,19
2012/12/06,,12,19
2012/12/07,,12,19
2012/12/08,,12,20
2012/12/09,,13,21
2012/12/10,,12,21
2012/12/11,,11,20
2012/12/12,,11,20
2012/12/13,,11,20
2012/12/14,,12,20
2012/12/15,,12,21
2012/12/16,,12,22
2012/12/17,,12,22
2012/12/18,,12,22
2012/12/19,,13,23
2012/12/20,,12,23
2012/12/21,,12,23
2012/12/22,,12,23
2012/12/23,,12,23
2012/12/24,,11,24
2012/12/25,,10,23
2012/12/26,,11,23
2012/12/27,,11,23
2012/12/28,,11,24
2012/12/29,,11,23
2012/12/30,,11,25
2012/12/31,,10,26
2013/01/01,,10,26
2013/01/02,,10,26
2013/01/03,,10,26
2013/01/04,,10,26
2013/01/05,,10,26
2013/01/06,,10,26
2013/01/07,,8,26
2013/01/08,,8,25
2013/01/09,,8,24
2013/01/10,,9,24
2013/01/11,,9,22
2013/01/12,,9,22
2013/01/13,,8,22
2013/01/14,,8,23
2013/01/15,,9,22
2013/01/16,,9,23
2013/01/17,,9,23
2013/01/18,,8,22
2013/01/19,,8,22
2013/01/20,,8,21
2013/01/21,,8,21
2013/01/22,,8,22
2013/01/23,,8,21
2013/01/24,,8,21
2013/01/25,,7,22
2013/01/26,,7,22
2013/01/27,,7,22
2013/01/28,,7,22
2013/01/29,,7,21
2013/01/30,,6,20
2013/01/31,,6,20
2013/02/01,,6,20
2013/02/02,,6,20
2013/02/03,,6,20
2013/02/04,,6,20
2013/02/05,,5,20
2013/02/06,,6,20
2013/02/07,,5,20
2013/02/08,,5,21
2013/02/09,,6,19
2013/02/10,,6,19
2013/02/11,,7,19
2013/02/12,,8,20
2013/02/13,,8,19
2013/02/14,,7,19
