date,iewiki (100+),iewiki (5+),iewiki (all)
2012/08/19,3,18,36
2012/08/20,3,18,38
2012/08/21,3,18,38
2012/08/22,3,18,39
2012/08/23,3,18,39
2012/08/24,3,18,39
2012/08/25,4,18,39
2012/08/26,3,17,39
2012/08/27,4,18,41
2012/08/28,4,19,41
2012/08/29,4,19,43
2012/08/30,4,20,43
2012/08/31,4,19,43
2012/09/01,5,21,45
2012/09/02,5,22,45
2012/09/03,5,22,45
2012/09/04,5,21,45
2012/09/05,5,22,47
2012/09/06,5,22,48
2012/09/07,5,23,47
2012/09/08,5,21,46
2012/09/09,5,21,47
2012/09/10,5,21,47
2012/09/11,5,21,46
2012/09/12,5,20,45
2012/09/13,5,20,45
2012/09/14,5,20,45
2012/09/15,5,20,43
2012/09/16,5,20,43
2012/09/17,5,21,42
2012/09/18,5,20,39
2012/09/19,5,20,39
2012/09/20,5,20,39
2012/09/21,5,18,38
2012/09/22,5,19,38
2012/09/23,5,18,38
2012/09/24,5,18,37
2012/09/25,5,16,34
2012/09/26,5,16,34
2012/09/27,5,16,32
2012/09/28,5,17,31
2012/09/29,5,17,30
2012/09/30,5,17,30
2012/10/01,4,15,28
2012/10/02,4,15,28
2012/10/03,4,16,30
2012/10/04,5,17,31
2012/10/05,5,17,29
2012/10/06,5,17,29
2012/10/07,5,16,28
2012/10/08,5,16,28
2012/10/09,5,19,30
2012/10/10,5,19,30
2012/10/11,5,19,29
2012/10/12,5,20,29
2012/10/13,5,20,28
2012/10/14,5,20,28
2012/10/15,5,20,30
2012/10/16,5,20,31
2012/10/17,5,20,32
2012/10/18,5,21,32
2012/10/19,5,21,33
2012/10/20,5,22,35
2012/10/21,5,23,36
2012/10/22,5,21,37
2012/10/23,5,22,37
2012/10/24,5,22,37
2012/10/25,5,21,37
2012/10/26,5,21,37
2012/10/27,5,21,40
2012/10/28,5,21,40
2012/10/29,5,21,41
2012/10/30,6,21,42
2012/10/31,6,21,42
2012/11/01,6,21,42
2012/11/02,6,20,42
2012/11/03,3,20,41
2012/11/04,3,22,42
2012/11/05,3,22,42
2012/11/06,2,22,42
2012/11/07,2,22,42
2012/11/08,2,19,38
2012/11/09,2,19,38
2012/11/10,2,19,39
2012/11/11,2,20,38
2012/11/12,3,20,39
2012/11/13,3,21,38
2012/11/14,3,21,36
2012/11/15,3,21,35
2012/11/16,3,21,35
2012/11/17,3,20,35
2012/11/18,3,19,35
2012/11/19,3,19,33
2012/11/20,3,20,34
2012/11/21,3,19,33
2012/11/22,3,19,34
2012/11/23,3,20,34
2012/11/24,3,20,34
2012/11/25,3,20,34
2012/11/26,3,20,33
2012/11/27,3,20,34
2012/11/28,4,20,33
2012/11/29,2,20,33
2012/11/30,3,20,33
2012/12/01,4,20,33
2012/12/02,4,20,32
2012/12/03,4,20,31
2012/12/04,4,20,30
2012/12/05,4,20,30
2012/12/06,4,20,30
2012/12/07,4,19,30
2012/12/08,4,19,31
2012/12/09,4,20,30
2012/12/10,4,20,30
2012/12/11,4,20,31
2012/12/12,4,20,31
2012/12/13,2,21,32
2012/12/14,2,21,32
2012/12/15,2,22,33
2012/12/16,4,24,34
2012/12/17,4,25,35
2012/12/18,4,25,36
2012/12/19,4,24,36
2012/12/20,3,24,35
2012/12/21,3,24,35
2012/12/22,3,24,35
2012/12/23,4,24,35
2012/12/24,4,24,35
2012/12/25,5,24,35
2012/12/26,5,24,35
2012/12/27,5,24,36
2012/12/28,6,23,37
2012/12/29,6,23,37
2012/12/30,6,23,37
2012/12/31,6,23,38
2013/01/01,7,23,39
2013/01/02,7,23,38
2013/01/03,7,23,37
2013/01/04,7,23,38
