date,lmowiki (100+),lmowiki (5+),lmowiki (all)
2012/08/19,9,26,62
2012/08/20,8,27,62
2012/08/21,8,28,64
2012/08/22,7,28,65
2012/08/23,7,28,67
2012/08/24,7,31,68
2012/08/25,7,29,68
2012/08/26,7,29,70
2012/08/27,7,30,74
2012/08/28,8,29,73
2012/08/29,8,29,75
2012/08/30,8,30,72
2012/08/31,9,30,74
2012/09/01,9,30,76
2012/09/02,10,32,77
2012/09/03,10,31,78
2012/09/04,10,31,75
2012/09/05,10,30,76
2012/09/06,9,29,74
2012/09/07,9,29,74
2012/09/08,9,29,75
2012/09/09,9,30,75
2012/09/10,9,30,75
2012/09/11,9,30,75
2012/09/12,9,30,73
2012/09/13,9,30,74
2012/09/14,9,30,76
2012/09/15,9,30,78
2012/09/16,8,31,76
2012/09/17,8,31,77
2012/09/18,9,31,75
2012/09/19,9,31,73
2012/09/20,9,29,71
2012/09/21,9,28,71
2012/09/22,9,28,70
2012/09/23,10,30,71
2012/09/24,12,32,70
2012/09/25,12,32,69
2012/09/26,12,31,66
2012/09/27,12,31,65
2012/09/28,12,31,65
2012/09/29,12,30,66
2012/09/30,12,31,65
2012/10/01,12,30,65
2012/10/02,12,31,62
2012/10/03,10,31,61
2012/10/04,10,31,62
2012/10/05,10,30,62
2012/10/06,10,29,61
2012/10/07,10,28,60
2012/10/08,10,28,60
2012/10/09,10,28,61
2012/10/10,10,29,60
2012/10/11,10,29,62
2012/10/12,10,29,61
2012/10/13,10,29,60
2012/10/14,10,29,57
2012/10/15,11,29,56
2012/10/16,11,29,57
2012/10/17,10,29,57
2012/10/18,10,30,56
2012/10/19,11,30,56
2012/10/20,11,30,55
2012/10/21,11,30,55
2012/10/22,11,30,54
2012/10/23,9,28,53
2012/10/24,8,26,51
2012/10/25,8,26,51
2012/10/26,7,27,53
2012/10/27,7,27,54
2012/10/28,7,27,56
2012/10/29,7,27,56
2012/10/30,7,26,58
2012/10/31,7,26,58
2012/11/01,7,27,59
2012/11/02,7,27,59
2012/11/03,7,27,61
2012/11/04,7,27,61
2012/11/05,7,27,62
2012/11/06,6,27,60
2012/11/07,6,26,59
2012/11/08,6,27,59
2012/11/09,6,27,59
2012/11/10,7,27,56
2012/11/11,7,27,56
2012/11/12,7,27,57
2012/11/13,7,27,56
2012/11/14,7,25,56
2012/11/15,7,25,56
2012/11/16,6,26,55
2012/11/17,6,26,55
2012/11/18,6,26,56
2012/11/19,6,25,58
2012/11/20,6,25,59
2012/11/21,6,25,58
2012/11/22,6,25,58
2012/11/23,6,24,57
2012/11/24,6,24,58
2012/11/25,7,24,56
2012/11/26,6,24,57
2012/11/27,6,26,55
2012/11/28,6,26,57
2012/11/29,6,25,56
2012/11/30,6,25,56
2012/12/01,6,24,56
2012/12/02,6,24,56
2012/12/03,6,24,55
2012/12/04,6,24,55
2012/12/05,6,24,53
2012/12/06,6,25,53
2012/12/07,6,25,54
2012/12/08,7,24,54
2012/12/09,7,24,54
2012/12/10,7,25,54
2012/12/11,7,24,54
2012/12/12,7,24,53
2012/12/13,8,24,52
2012/12/14,7,24,53
2012/12/15,7,23,52
2012/12/16,8,25,52
2012/12/17,7,25,52
2012/12/18,7,26,53
2012/12/19,7,27,51
2012/12/20,7,27,50
2012/12/21,7,27,51
2012/12/22,7,29,51
2012/12/23,7,29,50
2012/12/24,7,29,51
2012/12/25,7,29,50
2012/12/26,7,27,50
2012/12/27,7,27,50
2012/12/28,7,28,49
2012/12/29,7,28,51
2012/12/30,7,28,50
2012/12/31,7,28,51
2013/01/01,7,28,51
2013/01/02,7,28,53
2013/01/03,7,28,53
2013/01/04,7,28,53
2013/01/05,7,28,55
