date,ukwiki (100+),ukwiki (5+),ukwiki (all)
2012/08/19,144,730,1717
2012/08/20,141,727,1705
2012/08/21,141,727,1721
2012/08/22,139,713,1713
2012/08/23,140,712,1715
2012/08/24,139,689,1670
2012/08/25,140,694,1691
2012/08/26,140,702,1692
2012/08/27,140,708,1691
2012/08/28,141,717,1701
2012/08/29,143,723,1716
2012/08/30,138,719,1711
2012/08/31,140,706,1704
2012/09/01,138,705,1695
2012/09/02,136,713,1680
2012/09/03,137,710,1668
2012/09/04,136,709,1677
2012/09/05,133,705,1684
2012/09/06,128,707,1699
2012/09/07,128,701,1692
2012/09/08,127,709,1692
2012/09/09,127,700,1694
2012/09/10,128,695,1686
2012/09/11,128,705,1703
2012/09/12,127,705,1703
2012/09/13,126,704,1694
2012/09/14,126,701,1694
2012/09/15,126,697,1681
2012/09/16,125,692,1673
2012/09/17,124,686,1671
2012/09/18,126,687,1670
2012/09/19,127,687,1664
2012/09/20,131,680,1653
2012/09/21,131,689,1662
2012/09/22,134,681,1655
2012/09/23,131,677,1656
2012/09/24,134,684,1668
2012/09/25,135,673,1679
2012/09/26,131,675,1679
2012/09/27,132,665,1675
2012/09/28,132,662,1662
2012/09/29,131,665,1643
2012/09/30,131,662,1643
2012/10/01,133,671,1657
2012/10/02,129,672,1665
2012/10/03,129,671,1676
2012/10/04,127,672,1677
2012/10/05,130,667,1678
2012/10/06,129,679,1666
2012/10/07,133,682,1666
2012/10/08,131,683,1693
2012/10/09,130,683,1701
2012/10/10,132,671,1702
2012/10/11,135,668,1697
2012/10/12,132,672,1703
2012/10/13,136,676,1725
2012/10/14,137,690,1734
2012/10/15,137,699,1758
2012/10/16,140,712,1773
2012/10/17,140,717,1779
2012/10/18,138,713,1763
2012/10/19,137,717,1775
2012/10/20,136,722,1783
2012/10/21,137,728,1780
2012/10/22,136,728,1775
2012/10/23,132,727,1774
2012/10/24,131,728,1763
2012/10/25,133,736,1779
2012/10/26,137,740,1785
2012/10/27,134,734,1802
2012/10/28,133,748,1812
2012/10/29,133,750,1810
2012/10/30,133,758,1819
2012/10/31,136,759,1827
2012/11/01,136,766,1835
2012/11/02,136,762,1826
2012/11/03,131,766,1839
2012/11/04,135,762,1837
2012/11/05,139,764,1852
2012/11/06,140,770,1875
2012/11/07,139,770,1894
2012/11/08,136,773,1901
2012/11/09,140,786,1919
2012/11/10,140,788,1917
2012/11/11,141,795,1914
2012/11/12,141,792,1939
2012/11/13,140,795,1973
2012/11/14,138,790,1964
2012/11/15,142,784,1941
2012/11/16,140,776,1936
2012/11/17,136,771,1936
2012/11/18,137,785,1943
2012/11/19,135,783,1943
2012/11/20,135,787,1952
2012/11/21,134,794,1990
2012/11/22,138,798,1997
2012/11/23,139,809,2015
2012/11/24,140,811,2007
2012/11/25,139,815,2002
2012/11/26,138,822,2001
2012/11/27,137,822,2000
2012/11/28,139,812,2010
2012/11/29,137,819,2011
2012/11/30,139,822,1997
2012/12/01,142,821,1996
2012/12/02,143,828,2007
2012/12/03,141,835,2013
2012/12/04,141,844,2047
2012/12/05,140,852,2060
2012/12/06,139,840,2059
2012/12/07,142,835,2053
2012/12/08,140,836,2070
2012/12/09,139,844,2075
2012/12/10,141,851,2073
2012/12/11,141,850,2084
2012/12/12,140,846,2083
2012/12/13,138,840,2074
2012/12/14,136,840,2094
2012/12/15,137,847,2112
2012/12/16,139,851,2101
2012/12/17,134,854,2117
2012/12/18,142,873,2153
2012/12/19,139,881,2169
2012/12/20,141,888,2180
2012/12/21,141,878,2185
2012/12/22,138,882,2179
2012/12/23,139,870,2174
2012/12/24,142,883,2197
2012/12/25,144,896,2218
2012/12/26,140,896,2212
2012/12/27,139,892,2209
2012/12/28,140,895,2199
2012/12/29,142,901,2188
2012/12/30,140,896,2206
2012/12/31,142,892,2198
2013/01/01,141,875,2172
2013/01/02,142,860,2149
2013/01/03,143,863,2147
2013/01/04,146,861,2148
2013/01/05,144,872,2149
2013/01/06,147,865,2161
2013/01/07,148,872,2143
2013/01/08,149,870,2140
2013/01/09,146,865,2138
2013/01/10,146,871,2136
2013/01/11,142,874,2134
2013/01/12,142,872,2115
2013/01/13,147,862,2096
2013/01/14,149,863,2077
2013/01/15,151,872,2093
2013/01/16,150,879,2093
2013/01/17,144,868,2075
2013/01/18,148,857,2069
2013/01/19,150,864,2070
2013/01/20,154,859,2072
2013/01/21,155,860,2090
2013/01/22,152,853,2101
2013/01/23,152,848,2085
2013/01/24,151,841,2086
2013/01/25,150,843,2102
2013/01/26,151,841,2093
2013/01/27,153,840,2087
2013/01/28,154,843,2105
2013/01/29,154,842,2108
2013/01/30,157,853,2134
2013/01/31,158,861,2156
2013/02/01,160,872,2180
2013/02/02,164,871,2175
2013/02/03,165,874,2179
2013/02/04,167,881,2185
2013/02/05,169,884,2181
2013/02/06,165,879,2185
2013/02/07,166,880,2189
2013/02/08,165,878,2188
2013/02/09,168,877,2187
2013/02/10,168,876,2170
2013/02/11,173,888,2171
2013/02/12,170,889,2166
2013/02/13,168,898,2173
2013/02/14,166,887,2174
2013/02/15,164,874,2155
2013/02/16,167,870,2137
2013/02/17,168,872,2131
2013/02/18,165,872,2136
2013/02/19,164,870,2133
2013/02/20,169,870,2110
2013/02/21,166,877,2107
2013/02/22,164,865,2107
2013/02/23,165,857,2093
2013/02/24,166,858,2071
2013/02/25,167,860,2076
2013/02/26,165,852,2076
2013/02/27,165,851,2062
2013/02/28,164,857,2052
2013/03/01,165,855,2048
2013/03/02,168,863,2033
2013/03/03,162,856,2020
2013/03/04,159,856,2044
2013/03/05,159,845,2044
2013/03/06,160,834,2028
2013/03/07,158,836,2037
2013/03/08,157,839,2039
2013/03/09,155,829,2028
2013/03/10,154,819,2010
2013/03/11,150,809,2011
2013/03/12,150,804,2035
2013/03/13,149,795,2045
2013/03/14,148,794,2056
2013/03/15,145,791,2065
2013/03/16,144,786,2059
2013/03/17,147,796,2070
2013/03/18,149,802,2074
2013/03/19,151,800,2077
2013/03/20,146,807,2077
2013/03/21,144,799,2070
2013/03/22,144,795,2089
2013/03/23,146,797,2094
2013/03/24,148,805,2091
2013/03/25,148,810,2110
2013/03/26,150,807,2123
2013/03/27,150,797,2121
2013/03/28,150,806,2139
2013/03/29,147,809,2133
2013/03/30,148,813,2130
2013/03/31,153,804,2108
2013/04/01,154,803,2118
2013/04/02,155,806,2120
2013/04/03,153,806,2101
2013/04/04,156,811,2103
2013/04/05,154,815,2116
2013/04/06,152,817,2101
2013/04/07,150,821,2087
2013/04/08,149,835,2096
2013/04/09,148,844,2105
2013/04/10,147,852,2122
2013/04/11,149,866,2109
2013/04/12,149,881,2113
2013/04/13,149,879,2114
2013/04/14,149,876,2085
2013/04/15,145,882,2106
2013/04/16,145,882,2104
2013/04/17,147,883,2087
2013/04/18,145,894,2080
2013/04/19,147,889,2075
2013/04/20,148,889,2067
2013/04/21,146,885,2041
2013/04/22,143,887,2062
2013/04/23,139,882,2066
